"Land";"Diplom";"Club";"K/L";"Bemerkung";"DB Seite";"ID"
"VE";"10 x 10 award";;"L";;1;1281
"JA";"HAC-JARL";"JARL";"L";"Zusatz Seite 320";2;1711
"JA";"XAC";;"L";"QRT 1972";2;2697
"RA";"R-6-K";;"L";;3;2031
"W";"MMARC";;"L";;4;1872
"W";"Maritime Mobile ARC Certificate";"TX";"L";;4;2698
"OE";"Minor States Certificate";;"L";;5;2699
"HA";"Hungarian Castles Award";;"L";;7;1722
"F";"DD CC Correze + Cantal";;"L";;9;1549
"VK";"TBDXCA";;"L";;10;2095
"VE";"Twin Cities Award TCA";;"L";;12;2096
"SM";"STW Award";;"L";;13;2082
"JA";"WAPX";;"L";;14;2274
"PY2";"Certificado Estado de Sao Paulo";;"L";;16;1458
"DL";"A08-Plakette - Lahrer hinkender Bote";"A08";"L";;19;2701
"DL";"WAWA -Worked all Westfalia";"DVN";"L";"QRT (S.1930)";20;2526
"DL";"Lucas Cranach Award";"B21";"K";"nur 1972";20;2702
"PY1";"Diploma Cidade Maravi-Lhosa";;"L";"QRT 1996";21;2703
"YV";"Maracay Ciudad Jardin de Venezuela";;"L";;22;2704
"SV1";"Acroplois Award";"NARUG";"L";;23;2705
"SV";"Europe SSB Diploma";"NARUG";"L";;24;2706
"VK";"Zone 29 Award";;"L";;27;2442
"ZL";"Worked all Pacific";;"L";"(RB26)";31;2271
"W";"YL-SSB - Diplomprogramm";"YLSSB";"B";;33;2407
"W";"Belt of Orion";"YLSSB";"L";;34;1407
"W";"The North Star Award";"YLSSB";"L";;35;2129
"W";"The Vega Award";"YLSSB";"L";;35;2138
"W";"Amateur Radio Team";"YLSSB";"L";;36;1367
"W";"Stars of southern Cross Award";"YLSSB";"L";;36;2077
"W";"Corona Borealis";"YLSSB";"L";;37;1482
"W";"Top Flight Award";"YLSSB";"L";;37;2153
"W";"The Baracuda Award";"YLSSB";"L";;38;2108
"W";"The Dolphin Award";"YLSSB";"L";;38;2114
"W";"The Olympus Award";"YLSSB";"L";;38;2130
"W";"The Solitude Award";"YLSSB";"L";;38;2133
"W";"Mercury Diplom";"YLSSB";"L";;39;1853
"W";"The Apollo Award";"YLSSB";"L";;39;2107
"W";"The Golden Sixtant Award";"YLSSB";"L";;39;2121
"W";"The Devotional Award";"YLSSB";"L";;40;2113
"W";"The Galaxy Award";"YLSSB";"L";;40;2117
"W";"The Gemini Award";"YLSSB";"L";;40;2119
"W";"Kangaroo Award";"YLSSB";"L";;41;1791
"W";"SSB'er all States Award";"YLSSB";"L";;41;2075
"W";"Tapa Princess Award";"YLSSB";"L";;41;2091
"W";"Pacipic Islands Moon";"YLSSB";"L";;42;1941
"W";"The Brass Key Award";"YLSSB";"L";;42;2109
"W";"The Falcon Award";"YLSSB";"L";;42;2115
"W";"Canadian Rhapsodie Award";"YLSSB";"L";;43;1439
"W";"The 21-3-73 Award";"YLSSB";"L";;43;2104
"W";"The Golden Fireside Award";"YLSSB";"L";;43;2120
"W";"The Sweet Fifteen Award";"YLSSB";"L";;43;2136
"W";"King Neptun Trophy";"YLSSB";"L";;44;1801
"W";"Pegasus Trophy";"YLSSB";"L";;44;1947
"W";"Plaque of Distinction";"YLSSB";"L";;44;1957
"W";"The Rigel Trophy";"YLSSB";"L";;44;2131
"W";"Top Flight Trophy";"YLSSB";"L";;44;2154
"W";"Venus Tophy";"YLSSB";"L";;44;2194
"W";"Zenith Trophy";"YLSSB";"L";;44;2434
;"Diplôme des Ameriques Francaises";;"L";"Seite 1176: QRT";45;349
"VE";"DAF";;"L";"(RB29)";45;1508
"F";"A-OM-PTT";;"L";"(RB24)";46;1390
"ZL";"New Zealands Counties Award";;"L";;48;1886
"W";"WROD";;"L";"QRT";53;2376
"G";"G-300";;"L";"QRT";54;1709
"CT";"DDMP";;"L";;55;1552
"I1";"Diploma Torina";;"L";;56;1581
"G";"Worked Cray Valley";;"L";"QRT. - Neu siehe Cray Valley Award S.2045";57;2351
"I2";"Diploma Milano";;"L";;58;1868
"F";"Diplôme Ville de Paris";;"L";"QRT";60;2203
"W";"WAPUS";;"L";"QRT";64;2273
"RA";"The Jubilee Award";;"L";;65;2125
"RA";"Cosmos Award";;"L";"(RB32)";66;1484
"RA";"R-150-S";;"L";"(RB32)";67;2029
"RA";"R-10-R";;"L";"QRT";68;2028
"RA";"R-15-R";;"L";"(RB38/39)";69;2030
"RA";"R-100-O";;"L";"(RB32)";70;2027
"YA/DL";"10 CDRC";"CDRC";"L";"QRT";72;1278
"HB9";"H-22";"USKA";"L";"QRT - jetzt H-26";77;1748
"ZL";"ZL 71, 72, 73 etc.";;"L";;79;2437
"DL";"WHHW";;"L";;83;2313
"DL";"UKW-Europa-Diplom";"DARC";"L";"Seite 1622: Adresse neu";84;1001
"DL";"1000 Jahre Bamberg";"B05";"L";"Seite 211: QRT";85;1288
"CT";"Rota do Sol Award";;"L";;88;2016
"CT";"Fatima Award";;"L";;89;1663
